,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
445,6,1111.0,,,,,-1.88,0
446,18,1111.0,70.31,34.77,16.47,3.44,-3.15,0
447,30,1111.0,87.86,22.93,13.57,2.56,-4.36,0
448,6,1850.0,111.94,31.39,11.58,4.29,-1.66,0
449,18,1850.0,85.4,33.82,15.91,3.23,-2.88,0
450,6,2425.0,112.09,20.37,8.23,3.71,-2.6,1
451,18,2425.0,63.05,28.44,14.1,3.33,-2.18,1
452,36,2425.0,86.71,19.08,9.13,3.3,,1
453,6,3218.0,107.52,30.55,11.67,3.96,-1.68,1
454,18,3218.0,91.78,38.96,15.24,3.84,-2.28,1
455,30,3218.0,77.39,35.93,15.06,3.72,-4.52,1
456,6,3879.0,106.7,27.6,9.74,4.34,-2.57,1
457,18,3879.0,93.3,25.13,10.69,3.36,-3.1,1
458,36,3879.0,105.26,29.57,11.11,4.01,-2.91,1
459,6,577.0,136.02,26.29,12.88,3.51,-2.0,0
460,6,1284.0,124.89,31.54,11.64,4.38,-2.6,0
461,6,1847.0,97.27,26.44,12.02,4.02,-1.98,0
462,18,1847.0,82.78,26.16,14.47,3.31,-3.53,0
463,6,2447.0,107.09,16.9,7.73,3.28,-1.76,0
464,18,2447.0,92.41,32.19,14.56,3.69,,0
465,6,3478.0,108.67,25.84,10.6,4.07,,0
466,6,3773.0,101.06,24.8,10.2,3.73,-2.32,1
467,18,3773.0,56.08,44.76,23.24,3.11,-2.61,1
468,6,649.0,110.93,43.88,12.06,5.29,-2.04,0
469,18,649.0,85.31,43.64,15.07,4.6,-2.16,0
470,6,1242.0,106.36,19.48,9.54,3.31,-1.8,0
471,6,1845.0,110.71,19.72,10.39,3.11,-2.3,0
472,18,1845.0,71.23,21.74,13.77,2.74,-3.05,0
473,6,2524.0,135.05,44.23,12.1,5.43,-2.05,1
474,18,2524.0,91.28,43.27,16.57,4.4,-3.1,1
475,6,3094.0,107.69,21.66,10.6,3.15,,0
476,18,3094.0,66.1,37.57,19.2,2.98,-2.26,0
477,6,3778.0,110.63,20.49,10.18,3.27,-2.9,0
478,6,474.0,102.37,53.05,13.39,6.07,-1.82,0
479,6,1229.0,,,10.47,4.37,-2.6,0
480,6,1976.0,107.64,28.52,12.21,5.41,-1.94,0
481,6,2626.0,121.67,45.35,9.35,3.24,-2.08,0
482,6,3213.0,97.23,18.07,14.48,6.57,,1
483,6,3833.0,105.9,63.59,9.12,4.57,-2.14,1
484,6,557.0,180.86,19.18,8.65,3.3,-1.8,0
485,18,557.0,119.07,28.05,12.58,3.47,-2.6,0
486,6,1211.0,,,,,-1.74,1
487,18,1211.0,84.61,29.33,13.63,3.61,-2.42,1
488,6,1871.0,,,,,-2.39,1
489,18,1871.0,,,,,,1
490,6,2601.0,134.55,26.78,10.38,4.05,-1.81,0
491,18,2601.0,91.73,31.91,13.11,3.86,-2.31,0
492,6,3292.0,105.13,42.28,14.0,5.01,,0
493,18,3292.0,114.48,36.03,12.78,4.84,,0
494,6,3797.0,118.76,23.89,9.31,4.06,-1.93,0
495,18,3797.0,91.69,28.28,13.9,3.35,-2.65,0
496,6,485.0,109.33,63.89,16.94,6.17,-2.17,1
497,18,485.0,69.87,69.78,26.4,4.56,-2.55,1
498,30,485.0,69.5,47.78,22.47,3.45,-2.95,1
499,36,485.0,104.16,57.29,16.66,5.68,-3.31,1
500,6,1234.0,,,,,-2.64,1
501,18,1234.0,,,,,-2.99,1
502,30,1234.0,83.01,39.45,18.15,3.5,-3.14,1
503,36,1234.0,66.11,42.34,18.16,3.49,-1.88,1
504,6,1841.0,116.94,34.6,14.72,3.86,-2.22,1
505,18,1841.0,63.84,39.58,22.63,2.99,,1
506,30,1841.0,82.1,40.64,19.68,3.54,-3.8,1
507,6,2518.0,103.68,47.59,13.75,5.73,-2.01,1
508,18,2518.0,97.37,60.09,21.07,4.4,-2.62,1
509,30,2518.0,123.86,53.67,14.01,5.81,-5.28,1
510,36,2518.0,105.25,41.36,13.59,4.88,,1
511,6,3518.0,81.95,40.84,15.18,4.39,,1
512,6,3832.0,81.42,57.19,17.64,4.98,-2.3,1
513,18,3832.0,,33.38,16.73,2.64,-2.68,1
514,30,3832.0,65.21,47.67,18.96,3.75,-3.84,1
515,36,3832.0,94.91,40.34,15.07,3.62,-2.25,1
516,6,657.0,138.72,52.81,12.86,5.7,-1.55,0
517,18,657.0,92.95,70.88,21.38,5.31,,0
518,6,1297.0,112.9,15.61,7.59,3.11,-2.4,0
519,18,1297.0,,,,,-3.2,0
520,6,1788.0,97.35,65.73,15.67,6.0,-2.28,1
521,18,1788.0,79.54,70.18,23.12,4.26,-2.55,1
522,30,1788.0,71.63,52.39,18.49,4.23,-3.91,1
523,36,1788.0,108.98,42.01,11.35,5.08,-1.93,1
524,6,2588.0,98.8,30.15,10.23,4.57,-1.3,0
525,18,2588.0,76.94,41.47,13.27,4.31,-2.33,0
526,6,3121.0,106.55,58.0,15.72,6.02,,1
527,18,3121.0,69.59,37.79,18.47,3.49,-2.44,1
528,30,3121.0,67.58,35.75,18.86,3.26,-3.3,1
529,36,3121.0,65.6,43.59,20.36,3.6,-2.44,1
530,6,3957.0,105.81,41.74,11.95,5.28,-2.07,1
531,18,3957.0,68.05,51.89,22.17,4.0,-2.0,1
532,36,3957.0,89.95,33.09,16.13,3.44,-2.29,1
533,6,630.0,132.75,40.36,11.23,5.44,-2.52,0
534,6,1163.0,99.81,32.6,13.15,4.12,-2.04,1
535,6,1772.0,155.71,19.12,7.91,3.72,-2.64,0
536,6,2477.0,86.96,28.76,13.22,3.64,-2.45,1
537,6,3238.0,81.41,21.4,12.22,3.42,,0
538,6,3791.0,92.58,42.86,14.71,4.99,-2.38,1
539,6,494.0,133.03,28.94,11.62,4.15,-1.84,0
540,6,1250.0,,,,,-1.93,0
541,6,2198.0,129.62,29.03,10.05,4.27,-2.0,0
542,6,2530.0,145.14,27.62,10.39,4.1,-2.07,0
543,6,3100.0,158.46,31.57,11.5,4.04,-2.04,0
544,6,3829.0,140.44,30.31,12.18,3.95,-1.83,0
545,6,489.0,158.94,15.36,8.39,2.71,-1.9,1
546,18,489.0,,,8.96,3.72,-2.28,1
547,30,489.0,97.87,20.13,7.97,3.78,-3.32,1
548,36,489.0,100.68,22.65,8.41,3.77,-2.63,1
549,6,1506.0,122.27,24.64,9.35,4.16,-2.0,0
550,6,1893.0,104.6,18.31,9.02,2.87,-1.8,1
551,18,1893.0,93.13,23.01,10.8,3.46,-1.48,1
552,30,1893.0,115.29,23.26,9.95,3.54,-3.81,1
553,36,1893.0,104.97,21.99,9.17,3.56,-1.96,1
554,6,2614.0,127.56,17.79,9.1,3.18,-2.43,0
555,18,2614.0,120.82,24.29,9.57,4.21,-2.84,0
556,30,2614.0,110.19,26.33,9.87,4.3,-3.81,0
557,6,3088.0,117.52,26.0,9.73,4.19,,0
558,18,3088.0,118.03,38.56,8.98,3.73,-2.45,0
559,30,3088.0,116.14,30.31,12.86,3.89,-4.51,0
560,6,4002.0,112.69,14.43,10.58,4.63,-1.85,0
561,6,607.0,106.44,47.49,14.42,5.05,-1.94,1
562,18,607.0,85.21,51.53,20.94,3.88,,1
563,30,607.0,83.77,38.22,16.87,3.42,-3.42,1
564,36,607.0,73.91,28.12,14.3,2.88,-2.67,1
565,6,1155.0,102.33,,,,-2.2,1
566,18,1155.0,85.83,47.39,18.9,4.11,-2.38,1
567,30,1155.0,81.46,43.58,19.3,3.87,-3.64,1
568,36,1155.0,101.94,44.96,19.38,3.21,-2.47,1
569,6,2193.0,121.23,34.49,11.29,5.11,-2.3,0
570,6,2570.0,118.27,30.15,10.27,4.75,-2.27,1
571,18,2570.0,92.36,35.97,14.19,4.91,-2.1,1
572,30,2570.0,90.22,25.63,13.77,3.06,-3.38,1
573,36,2570.0,82.19,27.17,16.6,2.73,-2.21,1
574,36,2570.0,85.68,37.1,16.22,3.55,-2.02,1
575,6,3271.0,101.48,44.71,13.39,5.25,,0
576,18,3271.0,70.17,33.38,16.33,3.46,-2.52,0
577,6,3926.0,103.42,44.74,12.99,5.59,-1.63,0
578,18,3926.0,,,,,-2.32,0
579,6,463.0,154.38,30.97,10.15,4.64,-2.02,1
580,6,1315.0,,,,,-2.36,0
581,6,1887.0,103.74,28.29,10.4,4.03,-2.8,1
582,6,2542.0,115.93,32.42,10.78,4.25,-2.4,1
583,6,3270.0,103.0,30.98,12.06,4.23,,0
584,6,3955.0,100.04,37.3,12.12,4.54,-2.3,1
585,6,603.0,111.09,44.66,12.12,5.01,-1.56,0
586,18,603.0,69.47,36.74,9.67,4.76,-2.42,0
587,6,1217.0,164.01,38.06,11.79,5.02,-2.0,1
588,18,1217.0,125.53,45.26,16.49,4.15,-2.23,1
589,30,1217.0,99.48,41.12,16.44,4.14,-1.28,1
590,36,1217.0,121.12,40.26,14.38,4.36,-1.27,1
591,6,2189.0,164.55,32.65,9.74,4.97,-2.27,0
592,6,2557.0,144.99,43.85,12.86,5.14,-1.9,0
593,18,2557.0,83.21,65.56,21.27,5.03,-2.17,0
594,30,2557.0,92.57,41.17,16.31,4.18,-5.48,0
595,6,3184.0,140.39,29.31,9.37,4.73,,0
596,18,3184.0,,,,,-2.93,0
597,6,3959.0,141.03,24.4,9.32,4.09,-1.9,0
598,18,3959.0,118.79,32.99,12.62,4.07,-2.22,0
599,6,512.0,128.35,30.97,11.12,3.83,-1.73,1
600,18,512.0,88.53,45.4,13.79,3.65,-2.53,1
601,6,1186.0,108.48,30.07,10.56,4.48,-3.68,0
602,18,1186.0,74.04,21.92,16.06,2.68,-3.07,0
603,6,1873.0,102.56,37.01,12.04,4.9,-2.7,1
604,18,1873.0,85.88,26.58,8.69,4.06,-2.08,1
605,36,1873.0,87.01,30.94,16.16,3.3,-2.23,1
606,6,2548.0,116.08,29.72,11.52,3.89,-2.2,1
607,18,2548.0,81.92,44.79,16.56,4.32,-2.31,1
608,30,2548.0,100.92,22.76,12.25,2.91,-2.98,1
609,6,3451.0,138.89,27.71,9.17,4.67,-2.03,1
610,6,3826.0,110.43,30.59,10.03,4.84,-2.54,1
611,18,3826.0,,,18.74,4.14,-2.8,1
612,30,3826.0,91.18,35.88,16.06,3.27,-3.68,1
613,36,3826.0,95.71,34.79,17.39,3.14,-1.82,1
614,6,520.0,149.53,39.55,9.76,6.56,-1.68,0
615,18,520.0,88.45,55.68,16.1,5.33,-2.54,0
616,6,1233.0,,,,,-2.0,1
617,18,1233.0,94.88,28.56,12.33,4.0,-2.58,1
618,6,1849.0,116.7,42.74,11.27,5.58,-2.54,0
619,18,1849.0,85.94,57.01,18.4,4.76,-3.04,0
620,6,2543.0,149.22,23.78,8.63,4.14,-1.63,0
621,18,2543.0,115.94,36.07,14.45,4.25,-2.88,0
622,6,3445.0,128.42,37.01,9.81,5.5,-2.5,0
623,6,3790.0,117.75,44.03,10.89,5.97,-2.4,0
624,18,3790.0,,45.02,15.74,5.0,-2.62,0
625,18,565.0,85.12,22.18,13.2,2.67,-2.39,0
626,18,1220.0,96.44,16.51,10.85,2.71,-3.06,0
627,18,1930.0,92.58,44.98,17.67,4.39,-3.33,0
628,18,2437.0,85.02,33.78,17.19,3.29,-2.2,1
629,18,3247.0,93.7,29.24,15.3,3.28,-2.58,0
630,18,3814.0,,,,,-2.41,1
631,18,613.0,,,14.35,5.51,,0
632,18,1132.0,94.74,25.05,13.64,3.23,-2.72,0
633,18,1816.0,127.42,25.71,12.62,3.46,-3.61,0
634,18,2611.0,110.82,22.16,12.13,3.11,-3.45,0
635,18,3126.0,89.3,21.79,12.34,3.02,-2.65,0
636,18,3948.0,95.11,33.86,13.03,4.23,-2.26,0
637,18,460.0,110.26,13.89,6.9,2.92,-2.67,0
638,18,1174.0,101.94,33.95,14.39,4.05,-3.82,0
639,18,1848.0,87.99,23.63,12.32,3.25,-3.38,0
640,18,2505.0,82.7,30.17,13.79,3.75,-3.11,0
641,18,3222.0,108.17,32.13,14.4,4.0,-3.25,0
642,18,3756.0,91.7,24.11,11.06,3.57,-2.58,0
643,18,669.0,105.99,45.79,15.78,4.92,,1
644,30,669.0,97.52,38.67,13.86,4.32,-2.62,1
645,36,669.0,92.4,29.71,11.5,4.01,-1.31,1
646,18,1896.0,74.35,65.75,14.63,6.56,-2.71,1
647,18,3221.0,95.23,49.42,16.96,4.46,-2.53,1
648,30,3221.0,92.45,42.3,16.22,3.61,-3.63,1
649,36,3221.0,105.13,54.83,15.96,4.85,-3.06,1
650,18,3108.0,91.32,24.13,12.54,3.18,-3.01,0
651,18,1958.0,83.11,47.49,17.83,4.11,,0
652,18,2772.0,98.61,43.62,14.92,4.66,,1
653,18,525.0,95.03,20.87,8.98,3.87,-3.58,0
654,18,1206.0,90.46,22.62,13.26,3.17,-2.73,0
655,18,1763.0,84.44,31.57,14.24,3.71,-2.38,0
656,18,2575.0,91.01,33.67,14.49,3.72,-2.33,1
657,18,3085.0,89.08,34.36,11.48,4.63,-2.4,1
658,18,3942.0,,,,,-3.03,0
659,18,1818.0,96.69,66.97,13.83,4.54,-2.6,1
660,30,1818.0,112.97,42.03,14.96,4.23,-3.35,1
661,36,1818.0,93.94,38.7,16.14,3.78,-2.84,1
662,18,1881.0,101.63,53.2,13.91,5.85,-2.71,1
663,30,1881.0,112.13,31.85,9.42,4.73,-3.24,1
664,36,1881.0,65.8,44.12,10.42,5.59,-3.2,1
665,18,3104.0,98.94,40.52,14.77,4.66,-2.13,1
666,30,3104.0,91.07,31.63,13.36,3.9,-2.82,1
667,36,3104.0,116.39,32.53,10.39,4.52,-3.07,1
668,18,442.0,81.99,33.17,18.23,3.31,-3.06,1
669,30,442.0,105.84,35.83,15.42,3.99,-3.96,1
670,36,442.0,138.23,32.69,13.58,4.05,-2.36,1
671,18,1235.0,,,,,,1
672,30,1235.0,86.5,45.03,20.03,3.83,-2.88,1
673,18,1945.0,90.19,31.61,15.39,3.57,-2.9,0
674,18,2528.0,119.94,41.38,14.13,4.69,-1.98,0
675,30,2528.0,98.9,38.16,13.15,4.54,-4.27,0
676,18,2642.0,94.88,40.18,17.35,4.16,,1
677,18,2956.0,,,,,,1
678,18,653.0,91.46,34.85,16.65,3.42,-2.81,0
679,18,1121.0,71.63,27.83,16.32,3.08,-2.66,1
680,18,1980.0,,,,,-2.43,1
681,36,1980.0,61.4,31.61,12.87,4.02,-2.86,1
682,18,2621.0,76.79,46.15,20.85,3.63,-1.98,1
683,30,2621.0,72.83,48.69,21.99,3.36,-3.02,1
684,36,2621.0,76.46,67.36,17.04,3.79,,1
685,18,3091.0,63.88,53.16,25.37,3.46,-2.46,1
686,36,3091.0,87.74,45.67,17.86,3.96,-2.58,1
687,18,3958.0,63.67,63.74,20.32,4.62,-1.96,1
688,30,3958.0,64.98,46.45,17.13,4.01,-3.99,1
689,36,3958.0,166.03,39.85,11.58,4.94,-1.23,1
690,18,511.0,95.44,37.28,12.69,4.96,-2.42,1
691,18,1219.0,88.96,42.12,16.26,3.95,-2.87,0
692,18,2837.0,,,,,,1
693,18,2993.0,107.11,40.41,16.66,4.15,,1
694,18,3151.0,98.8,36.5,17.95,3.52,-2.61,1
695,18,3789.0,72.86,26.23,14.98,2.55,-2.89,1
696,18,614.0,138.3,29.6,9.19,4.94,-2.99,0
697,18,1291.0,81.4,28.22,13.32,3.67,-3.06,0
698,18,1884.0,101.43,26.96,10.57,4.0,-3.35,0
699,18,2470.0,60.86,28.2,17.78,2.41,-2.73,1
700,18,3178.0,91.59,22.16,10.8,3.14,-3.08,0
701,18,3943.0,79.21,30.85,14.08,3.48,-3.24,0
702,18,546.0,98.94,25.49,9.71,4.08,-3.07,0
703,18,1281.0,82.64,41.83,14.5,4.7,-2.76,1
704,18,1915.0,88.42,30.64,14.15,3.6,-3.2,0
705,18,2579.0,,,14.18,3.08,-2.36,0
706,18,3259.0,76.07,25.48,12.64,3.37,-2.68,0
707,18,3905.0,86.16,26.6,11.96,3.69,-2.51,0
708,18,1252.0,87.89,44.53,16.33,4.4,-2.82,1
709,30,1252.0,74.89,37.97,15.48,4.02,-3.09,1
710,36,1252.0,66.96,37.67,15.83,3.7,-1.85,1
711,18,2496.0,77.9,37.43,13.21,4.66,-2.4,1
712,30,2496.0,92.01,39.29,12.65,4.65,-4.32,1
713,36,2496.0,86.13,42.11,13.59,4.93,,1
714,18,3248.0,81.42,47.57,15.31,5.47,-2.62,1
715,36,3248.0,95.13,44.04,13.91,4.91,-3.78,1
716,18,1863.0,75.72,39.17,15.64,3.98,-2.33,1
717,30,1863.0,71.86,47.32,15.41,4.4,-2.89,1
718,36,1863.0,97.12,39.82,14.43,4.19,-1.88,1
719,18,621.0,105.82,36.8,15.7,4.11,-3.34,0
720,18,1146.0,72.11,56.44,18.55,4.42,-2.61,1
721,30,1146.0,91.94,58.07,17.01,5.37,-3.87,1
722,36,1146.0,82.33,36.84,14.29,3.81,-1.68,1
723,18,1961.0,76.79,66.57,18.39,5.54,-2.08,0
724,18,2507.0,87.68,37.15,12.71,4.66,-2.22,1
725,30,2507.0,79.37,40.52,16.89,4.13,-4.81,1
726,36,2507.0,74.61,47.93,13.59,3.73,-2.35,1
727,18,3147.0,80.95,37.88,12.55,4.81,-2.78,1
728,30,3147.0,90.97,30.69,9.7,4.67,-3.59,1
729,36,3147.0,94.49,32.31,9.56,4.72,-3.93,1
730,18,3816.0,66.41,41.17,16.44,4.07,-2.71,1
731,30,3816.0,86.4,41.95,13.08,5.37,-3.76,1
732,36,3816.0,87.87,33.88,11.25,4.4,-2.72,1
733,18,3163.0,101.16,40.07,14.95,3.79,-2.63,0
734,18,585.0,99.35,22.13,13.96,2.53,-2.15,1
735,18,1215.0,93.78,29.47,13.15,3.83,-2.57,0
736,18,1922.0,105.89,40.25,13.01,5.08,-2.87,0
737,18,2468.0,114.34,31.1,12.93,4.05,-2.54,0
738,18,3223.0,109.19,47.91,15.21,5.6,-2.35,0
739,18,3918.0,108.05,38.96,13.43,4.96,-2.74,0
740,18,2658.0,83.36,47.82,13.34,5.59,,0
741,18,1801.0,91.78,39.21,13.88,4.16,-2.8,1
742,18,3160.0,87.08,44.56,18.2,4.65,-2.5,0
743,18,506.0,93.17,38.05,15.52,4.45,-2.49,0
744,18,1145.0,99.9,44.96,12.77,5.59,-2.41,1
745,18,1950.0,94.88,39.64,13.87,4.6,-2.29,0
746,18,2472.0,91.03,37.92,13.43,4.41,-1.77,0
747,18,3117.0,76.13,28.72,15.3,3.16,-1.98,0
748,18,3775.0,,,,,-2.82,1
749,18,651.0,71.07,34.82,17.98,3.35,-1.92,0
750,18,1868.0,128.99,23.15,8.15,4.16,-2.98,1
751,18,2963.0,,,,,,0
752,18,625.0,74.06,52.73,17.36,4.26,-2.02,0
753,18,3209.0,91.64,32.29,15.39,3.41,-2.78,1
754,30,3209.0,106.47,28.08,13.62,3.45,-3.25,1
755,36,3209.0,113.98,29.12,9.59,4.68,-0.32,1
756,18,627.0,113.52,43.01,14.42,4.55,-3.65,0
757,18,1160.0,100.24,36.89,16.03,3.82,-3.62,0
758,18,1870.0,81.94,33.7,12.91,4.05,-2.32,1
759,18,2605.0,101.34,26.09,10.42,3.72,-2.76,0
760,18,3243.0,90.1,34.98,15.56,3.97,-2.56,1
761,18,3890.0,120.51,30.01,15.25,3.61,-2.79,0
762,18,1839.0,91.83,29.77,14.4,3.3,-2.49,0
763,18,659.0,,,7.74,2.83,,0
764,18,3915.0,104.29,14.5,,,-3.28,0
765,18,647.0,72.54,28.4,11.21,3.77,-2.48,1
766,18,1118.0,107.12,28.45,13.35,3.31,-2.95,0
767,18,1857.0,,,,,,0
768,18,2501.0,,,,,-2.48,0
769,18,3131.0,,37.11,14.65,3.62,-3.17,1
770,18,3952.0,,,,,-2.96,1
771,18,3132.0,77.25,63.34,19.45,5.13,-2.08,1
772,18,757.0,105.22,34.06,13.0,4.31,,0
773,18,1119.0,94.44,35.89,13.4,4.37,-3.11,0
774,18,1939.0,101.42,28.4,11.33,4.25,-3.21,0
775,18,2594.0,,,,,-3.06,0
776,18,3288.0,88.81,33.99,13.28,4.02,-3.5,0
777,18,3884.0,,37.86,16.65,4.26,-3.84,0
778,18,3154.0,68.06,42.06,15.09,4.63,-2.44,1
779,36,3154.0,79.1,25.44,10.84,3.24,-3.18,1
780,18,3106.0,84.1,44.92,11.91,5.36,-2.3,1
781,30,3106.0,98.3,29.19,8.73,4.98,-3.18,1
782,18,527.0,,50.38,17.35,4.56,-2.11,0
783,18,1183.0,121.69,41.54,11.89,4.78,-2.82,0
784,18,1894.0,77.03,73.56,22.14,5.25,-2.8,1
785,36,1894.0,98.11,68.23,15.78,7.04,-2.62,1
786,18,2613.0,,56.11,22.26,3.83,-2.61,1
787,30,2613.0,77.59,44.89,18.61,3.84,-4.13,1
788,36,2613.0,73.47,38.31,15.32,3.75,,1
789,18,3182.0,75.3,47.67,21.13,3.6,-2.6,1
790,30,3182.0,94.14,36.2,10.91,4.9,-3.49,1
791,36,3182.0,101.03,51.63,15.38,5.03,-3.47,1
792,18,3810.0,,38.6,17.45,3.76,-2.77,0
793,18,490.0,98.04,33.61,11.9,4.21,-2.72,1
794,30,490.0,92.25,31.41,11.99,3.96,-4.66,1
795,18,1289.0,83.3,16.66,11.77,2.17,-3.94,0
796,18,1865.0,78.58,36.56,10.52,4.16,-4.2,0
797,18,2444.0,76.06,59.36,17.64,3.32,-2.04,0
798,30,2444.0,85.97,29.37,15.21,2.84,-4.58,0
799,18,3300.0,64.5,60.72,20.25,4.72,-3.3,0
800,18,841.0,109.6,28.0,14.42,6.19,,1
801,30,841.0,75.38,48.75,13.15,5.49,-2.62,1
802,18,3196.0,68.29,24.35,15.3,2.71,-1.2,1
803,18,443.0,76.58,37.12,14.94,4.18,-2.17,1
804,18,1274.0,98.27,47.17,16.78,4.31,-2.92,0
805,18,1937.0,80.95,49.25,17.36,4.57,-2.32,0
806,18,2600.0,86.02,28.43,9.13,4.24,-3.75,0
807,18,3146.0,65.15,44.15,13.39,3.49,-2.22,0
808,18,3824.0,,,17.37,4.18,-2.72,1
809,18,617.0,70.3,29.29,15.35,3.12,-2.71,1
810,30,617.0,,21.72,14.17,2.34,-4.47,1
811,18,1956.0,126.49,34.29,11.05,4.7,,0
812,18,2549.0,99.24,28.1,9.48,4.23,-2.58,0
813,18,3105.0,78.7,61.94,16.71,5.94,-2.28,1
814,18,3953.0,92.61,48.21,13.09,5.45,-2.0,0
815,18,593.0,71.85,30.74,11.81,4.36,,0
816,18,1222.0,,,,,,0
817,18,1866.0,91.1,31.79,12.89,4.41,-2.09,0
818,18,2545.0,85.8,32.35,15.31,4.2,-2.36,1
819,18,3298.0,94.24,29.26,15.31,3.3,-2.83,0
820,18,3838.0,100.08,34.18,11.94,5.04,-2.33,0
821,18,2843.0,88.53,58.34,19.34,4.45,,1
822,18,763.0,79.23,15.57,,,,0
823,18,3771.0,72.7,15.08,8.09,2.96,-2.21,1
824,36,3771.0,64.24,20.37,11.06,2.67,-2.69,1
825,18,727.0,91.01,43.94,17.78,4.37,,0
826,18,3193.0,98.91,35.72,16.36,3.62,-2.14,0
827,18,767.0,112.61,44.43,13.12,5.16,,1
828,18,1105.0,97.45,43.31,15.16,4.66,-3.23,1
829,30,1105.0,112.24,34.74,13.33,4.36,-2.72,1
830,18,1794.0,100.33,44.62,16.34,4.59,-3.43,1
831,30,1794.0,118.46,37.4,14.47,3.89,-3.57,1
832,18,2534.0,101.41,52.33,13.84,5.38,-2.7,1
833,30,2534.0,94.68,45.16,11.7,5.36,-3.92,1
834,18,3291.0,108.16,40.89,12.02,4.97,-2.56,1
835,30,3291.0,90.63,41.65,14.71,4.07,-4.76,1
836,18,3933.0,76.83,39.95,13.77,4.67,-2.65,1
837,18,1967.0,125.66,38.9,12.38,5.01,-2.3,0
838,18,671.0,67.82,23.38,19.33,4.7,,1
839,30,671.0,95.87,40.32,15.98,3.73,-3.88,1
840,18,1302.0,67.36,36.02,13.99,3.98,-2.84,0
841,18,1812.0,75.34,39.89,19.06,3.69,-3.55,1
842,30,1812.0,89.1,35.95,13.65,4.0,-3.62,1
843,36,1812.0,82.4,39.1,18.76,3.4,,1
844,18,2429.0,69.66,44.77,18.77,3.48,-2.5,1
845,36,2429.0,103.26,25.45,9.31,3.61,-2.12,1
846,18,3168.0,99.45,34.46,17.36,2.9,-3.06,0
847,18,3854.0,90.73,54.73,10.36,3.31,-2.69,1
848,30,3854.0,84.26,25.88,9.69,3.96,-2.02,1
849,36,3854.0,102.93,35.13,10.73,4.54,-1.37,1
850,30,11.0,96.47,33.86,13.47,3.94,-4.0,1
851,36,11.0,104.69,28.27,10.68,4.04,-0.75,1
852,30,253.0,84.19,36.03,14.39,4.11,-3.63,1
853,36,253.0,79.18,39.43,15.4,3.94,-1.03,1
854,30,4256.0,91.37,51.17,15.93,5.01,-3.01,1
855,36,4256.0,100.39,39.1,14.07,4.6,-1.57,1
856,30,818.0,87.43,34.01,16.67,2.97,-2.48,1
857,36,818.0,74.43,37.1,17.19,3.17,-1.17,1
858,30,24.0,145.22,45.38,16.14,4.1,-4.26,1
859,36,24.0,165.26,41.4,13.24,4.81,-2.35,1
860,30,370.0,100.96,43.27,15.98,3.94,-2.43,1
861,36,370.0,80.67,51.93,18.95,4.27,-1.32,1
862,30,704.0,85.93,50.66,17.44,4.6,-3.63,1
863,36,704.0,126.11,37.64,11.66,4.79,-1.25,1
864,30,34.0,95.14,36.73,10.15,5.28,-3.05,1
865,36,34.0,74.04,43.22,15.68,4.13,-2.13,1
866,30,930.0,75.85,41.64,16.1,3.89,-3.05,1
867,36,930.0,84.21,38.78,12.81,4.42,,1
868,30,4242.0,91.8,37.22,15.82,3.75,-3.11,1
869,36,4242.0,76.15,37.96,14.92,3.95,,1
870,30,778.0,81.06,35.59,14.48,3.95,-3.11,1
871,30,950.0,86.9,28.88,13.24,3.35,-3.11,1
872,36,950.0,151.28,38.95,14.89,3.69,-2.51,1
873,30,40.0,107.38,19.16,11.65,2.42,-3.39,1
874,36,40.0,117.03,29.02,14.67,3.01,-2.15,1
875,30,372.0,96.31,24.85,14.59,2.64,-3.07,1
876,36,372.0,101.34,28.48,14.55,3.13,,1
877,30,805.0,109.89,27.42,13.46,4.0,-2.71,1
878,36,805.0,99.68,19.25,8.78,3.38,,1
879,30,1078.0,96.24,52.11,16.08,5.32,-3.39,0
880,30,2206.0,94.05,18.48,14.0,2.06,-3.89,1
881,30,813.0,80.73,32.94,13.4,3.93,-4.68,1
882,36,813.0,74.91,31.84,13.82,3.58,,1
883,30,390.0,126.32,43.01,19.5,3.45,-4.98,1
884,36,390.0,94.88,23.02,11.09,3.32,-2.68,1
885,30,4376.0,82.11,39.11,13.87,4.49,-3.35,1
886,36,4376.0,109.7,58.85,14.0,6.49,,1
887,30,1537.0,88.18,38.89,21.59,3.1,-3.19,1
888,30,4356.0,91.04,49.32,18.51,4.58,-3.24,1
889,36,4356.0,75.66,45.77,18.01,4.53,-2.31,1
890,30,66.0,122.26,25.92,15.19,2.55,-3.96,1
891,36,66.0,114.69,38.42,16.65,3.44,-2.48,1
892,30,789.0,96.9,39.87,17.97,3.62,-4.32,1
893,30,68.0,103.65,19.18,13.25,2.14,-4.92,1
894,36,68.0,108.7,37.93,15.15,3.87,-1.68,1
895,30,741.0,74.82,50.95,21.67,3.28,-3.99,1
896,30,1356.0,,42.34,16.51,3.8,-4.53,1
897,30,1438.0,83.25,39.92,14.26,4.54,-3.68,1
898,30,83.0,94.46,36.04,13.94,4.15,-3.9,1
899,36,83.0,84.42,29.97,12.32,3.59,-2.0,1
900,30,891.0,,41.43,13.71,5.0,-3.75,1
901,36,891.0,87.79,43.44,13.21,4.78,-2.68,1
