,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
101,6,1181.0,134.22,33.84,8.1,3.18,-1.8,0
102,6,2115.0,138.6,14.22,7.0,3.03,-2.54,1
103,6,2436.0,146.88,36.62,8.62,2.85,-2.2,1
104,6,3082.0,136.15,44.52,9.69,3.47,,1
105,6,3821.0,117.68,60.83,9.86,4.39,-1.95,0
106,6,589.0,123.17,37.89,12.77,4.72,-2.1,1
107,6,1140.0,130.28,39.66,7.13,3.75,-2.64,1
108,6,1917.0,118.17,66.63,14.35,7.52,-2.13,1
109,6,2490.0,137.23,26.67,9.74,4.31,-1.88,0
110,6,3355.0,143.95,50.62,11.86,5.96,,0
111,6,3772.0,110.41,36.9,10.54,5.23,-1.94,1
112,6,541.0,126.91,41.84,9.93,5.59,-2.05,1
113,18,541.0,129.78,44.77,11.96,5.79,,1
114,6,1128.0,143.6,27.01,9.07,4.49,-2.26,1
115,18,1128.0,,46.64,16.75,4.8,-2.8,1
116,30,1128.0,103.59,43.62,14.2,4.87,-3.72,1
117,36,1128.0,96.66,37.6,14.61,3.9,-1.23,1
118,6,2114.0,119.69,75.18,14.31,7.28,-2.35,1
119,6,2466.0,127.6,18.65,8.24,3.22,-1.94,1
120,18,2466.0,88.02,22.69,12.22,3.2,-1.94,1
121,6,3369.0,124.0,56.22,12.21,6.52,,1
122,6,3896.0,133.88,32.53,9.97,4.83,-2.35,1
123,18,3896.0,,,,,-2.77,1
124,36,3896.0,98.56,44.94,14.45,4.89,,1
125,6,522.0,132.53,24.94,8.99,4.23,-2.4,0
126,18,522.0,103.51,30.83,12.78,4.1,-3.44,0
127,6,1167.0,133.25,21.66,10.04,3.43,-2.08,0
128,18,1167.0,95.23,16.44,11.71,2.36,-2.87,0
129,6,1828.0,,30.6,10.91,4.33,-1.55,0
130,18,1828.0,94.33,24.24,14.2,2.71,-2.35,0
131,6,2499.0,130.01,27.37,9.46,4.18,-2.68,0
132,18,2499.0,92.15,32.85,13.46,3.94,,0
133,6,3412.0,123.47,15.36,8.06,3.2,-2.13,1
134,6,3946.0,122.46,18.08,8.64,3.06,-2.1,1
135,18,3946.0,93.16,19.91,11.22,2.95,-2.67,1
136,6,496.0,160.19,18.42,9.68,2.9,-2.04,0
137,6,1173.0,138.13,27.36,9.77,4.0,-2.43,0
138,6,2157.0,136.36,20.71,8.3,3.71,-2.04,0
139,6,2694.0,128.53,22.47,8.4,3.75,-1.88,0
140,6,3179.0,134.08,24.76,10.07,3.83,,0
141,6,3895.0,130.37,34.47,10.48,4.79,-1.87,1
142,6,502.0,121.48,31.71,14.11,3.62,-1.94,1
143,6,1278.0,139.87,31.44,11.27,4.3,-2.75,1
144,6,1859.0,109.22,22.12,10.37,2.85,-2.4,0
145,6,2434.0,121.26,33.18,10.46,4.68,-1.97,0
146,6,3266.0,116.91,16.32,8.41,3.04,,0
147,6,3794.0,124.33,30.45,10.83,3.97,-2.17,0
148,6,611.0,,31.07,11.71,4.01,-2.04,0
149,6,1113.0,,,,,-2.13,1
150,6,1880.0,135.16,20.6,8.14,3.79,-1.96,0
